일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-15 09:00,2026-01-15,09:00,광명5동,한파,-6.3,69,0,4.1,-8.1,한파주의
2026-01-15 11:00,2026-01-15,11:00,광명5동,맑음,-3.5,63,0,4.0,-5.3,정상
2026-01-15 13:00,2026-01-15,13:00,광명5동,맑음,-0.7,58,0,4.3,-2.6,정상
2026-01-15 15:00,2026-01-15,15:00,광명5동,맑음,0.1,53,0,4.2,-1.8,정상
2026-01-15 17:00,2026-01-15,17:00,광명5동,맑음,-2.0,62,0,4.0,-3.8,정상
2026-02-12 09:00,2026-02-12,09:00,광명5동,눈,-2.2,80,0,3.4,-3.7,정상
2026-02-12 11:00,2026-02-12,11:00,광명5동,약한비,0.6,75,0.6,3.4,-0.9,우산 준비
2026-02-12 13:00,2026-02-12,13:00,광명5동,비,3.4,68,2.7,3.3,1.9,우산 준비
2026-02-12 15:00,2026-02-12,15:00,광명5동,약한비,3.7,68,1.8,3.9,1.9,우산 준비
2026-02-12 17:00,2026-02-12,17:00,광명5동,눈,1.8,75,0,3.3,0.3,정상
2026-03-12 09:00,2026-03-12,09:00,광명5동,구름조금,6.0,65,0,4.5,6.0,관심
2026-03-12 11:00,2026-03-12,11:00,광명5동,구름조금,8.8,58,0,6.9,8.4,강풍주의
2026-03-12 13:00,2026-03-12,13:00,광명5동,구름조금,10.9,55,0,6.8,10.4,강풍주의
2026-03-12 15:00,2026-03-12,15:00,광명5동,구름조금,12.2,53,0,6.9,11.6,강풍주의
2026-03-12 17:00,2026-03-12,17:00,광명5동,구름조금,10.1,57,0,4.6,9.8,관심
2026-04-09 09:00,2026-04-09,09:00,광명5동,약한비,11.8,75,0.4,3.3,12.3,우산 준비
2026-04-09 11:00,2026-04-09,11:00,광명5동,비,14.5,72,2.2,3.4,14.9,우산 준비
2026-04-09 13:00,2026-04-09,13:00,광명5동,비,17.3,65,5.7,3.1,17.5,우산 준비
2026-04-09 15:00,2026-04-09,15:00,광명5동,비,18.3,63,3.5,2.8,18.4,우산 준비
2026-04-09 17:00,2026-04-09,17:00,광명5동,약한비,15.9,70,0.8,3.3,16.2,우산 준비
2026-05-14 09:00,2026-05-14,09:00,광명5동,맑음,18.4,64,0,2.4,18.6,정상
2026-05-14 11:00,2026-05-14,11:00,광명5동,맑음,21.6,59,0,2.7,21.5,정상
2026-05-14 13:00,2026-05-14,13:00,광명5동,맑음,24.3,57,0,2.7,24.2,정상
2026-05-14 15:00,2026-05-14,15:00,광명5동,맑음,25.1,51,0,2.4,24.9,정상
2026-05-14 17:00,2026-05-14,17:00,광명5동,맑음,23.0,60,0,2.4,23.0,정상
2026-06-11 09:00,2026-06-11,09:00,광명5동,약한비,22.4,87,0.7,3.6,23.4,우산 준비
2026-06-11 11:00,2026-06-11,11:00,광명5동,비,25.4,81,2.6,3.0,26.2,우산 준비
2026-06-11 13:00,2026-06-11,13:00,광명5동,비,28.0,75,8.4,3.5,28.5,호우주의
2026-06-11 15:00,2026-06-11,15:00,광명5동,비,29.4,76,5.7,3.4,30.0,우산 준비
2026-06-11 17:00,2026-06-11,17:00,광명5동,약한비,26.7,80,1.2,3.0,27.5,우산 준비
2026-07-02 09:00,2026-07-02,09:00,광명5동,맑음,27.0,80,0,2.5,27.8,정상
2026-07-02 11:00,2026-07-02,11:00,광명5동,맑음,29.6,76,0,2.8,30.2,정상
2026-07-02 13:00,2026-07-02,13:00,광명5동,맑음,32.1,71,0,3.1,32.5,폭염주의
2026-07-02 15:00,2026-07-02,15:00,광명5동,맑음,32.9,67,0,2.9,33.1,폭염주의
2026-07-02 17:00,2026-07-02,17:00,광명5동,맑음,31.0,74,0,2.5,31.6,정상
2026-07-09 09:00,2026-07-09,09:00,광명5동,비,24.9,97,4.2,4.4,26.2,우산 준비
2026-07-09 11:00,2026-07-09,11:00,광명5동,비,27.6,92,11.3,4.1,28.8,호우주의
2026-07-09 13:00,2026-07-09,13:00,광명5동,폭우,30.3,88,26.7,4.6,31.3,호우경보
2026-07-09 15:00,2026-07-09,15:00,광명5동,폭우,31.1,83,18.4,4.6,31.9,호우주의
2026-07-09 17:00,2026-07-09,17:00,광명5동,비,28.7,91,6.3,4.7,29.8,우산 준비
2026-07-16 09:00,2026-07-16,09:00,광명5동,맑음,29.7,70,0,2.2,30.1,정상
2026-07-16 11:00,2026-07-16,11:00,광명5동,맑음,32.7,66,0,2.5,32.9,폭염주의
2026-07-16 13:00,2026-07-16,13:00,광명5동,폭염,34.9,62,0,2.5,35.0,폭염주의
2026-07-16 15:00,2026-07-16,15:00,광명5동,폭염,36.0,61,0,2.4,36.0,폭염경보
2026-07-16 17:00,2026-07-16,17:00,광명5동,폭염,33.8,67,0,2.3,34.1,폭염주의
2026-07-20 09:00,2026-07-20,09:00,광명5동,흐림,27.4,92,0,3.6,28.6,관심
2026-07-20 11:00,2026-07-20,11:00,광명5동,약한비,30.3,85,0.7,4.1,31.2,우산 준비
2026-07-20 13:00,2026-07-20,13:00,광명5동,비,33.2,82,8.1,4.1,34.0,호우주의
2026-07-20 15:00,2026-07-20,15:00,광명5동,폭우,33.9,77,28.4,4.1,34.5,호우경보
2026-07-20 17:00,2026-07-20,17:00,광명5동,비,32.0,84,4.7,4.1,32.8,우산 준비
