일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-15 09:00,2026-01-15,09:00,철산4동,한파,-6.1,68,0,3.7,-7.8,한파주의
2026-01-15 11:00,2026-01-15,11:00,철산4동,맑음,-3.3,62,0,3.8,-5.0,정상
2026-01-15 13:00,2026-01-15,13:00,철산4동,맑음,-0.9,57,0,4.2,-2.8,정상
2026-01-15 15:00,2026-01-15,15:00,철산4동,맑음,0.1,53,0,3.7,-1.6,정상
2026-01-15 17:00,2026-01-15,17:00,철산4동,맑음,-2.4,60,0,3.9,-4.2,정상
2026-02-12 09:00,2026-02-12,09:00,철산4동,눈,-2.6,82,0,3.4,-4.1,정상
2026-02-12 11:00,2026-02-12,11:00,철산4동,약한비,0.1,78,0.7,3.3,-1.4,우산 준비
2026-02-12 13:00,2026-02-12,13:00,철산4동,비,2.7,70,2.8,3.2,1.3,우산 준비
2026-02-12 15:00,2026-02-12,15:00,철산4동,약한비,4.2,66,1.8,3.6,2.6,우산 준비
2026-02-12 17:00,2026-02-12,17:00,철산4동,눈,1.9,73,0,3.1,0.5,정상
2026-03-12 09:00,2026-03-12,09:00,철산4동,구름조금,5.2,66,0,4.5,5.3,관심
2026-03-12 11:00,2026-03-12,11:00,철산4동,구름조금,8.3,61,0,6.7,8.0,강풍주의
2026-03-12 13:00,2026-03-12,13:00,철산4동,구름조금,10.9,55,0,6.6,10.4,강풍주의
2026-03-12 15:00,2026-03-12,15:00,철산4동,구름조금,11.7,52,0,6.7,11.2,강풍주의
2026-03-12 17:00,2026-03-12,17:00,철산4동,구름조금,9.7,57,0,4.3,9.4,관심
2026-04-09 09:00,2026-04-09,09:00,철산4동,약한비,11.9,77,0.3,2.7,12.6,우산 준비
2026-04-09 11:00,2026-04-09,11:00,철산4동,비,14.1,72,2.3,2.8,14.6,우산 준비
2026-04-09 13:00,2026-04-09,13:00,철산4동,비,17.3,67,5.6,2.8,17.6,우산 준비
2026-04-09 15:00,2026-04-09,15:00,철산4동,비,18.0,65,4.0,2.8,18.2,우산 준비
2026-04-09 17:00,2026-04-09,17:00,철산4동,약한비,16.0,73,1.0,2.7,16.5,우산 준비
2026-05-14 09:00,2026-05-14,09:00,철산4동,맑음,18.6,66,0,2.3,18.9,정상
2026-05-14 11:00,2026-05-14,11:00,철산4동,맑음,21.6,62,0,2.1,21.7,정상
2026-05-14 13:00,2026-05-14,13:00,철산4동,맑음,23.8,53,0,2.2,23.6,정상
2026-05-14 15:00,2026-05-14,15:00,철산4동,맑음,24.8,52,0,2.1,24.6,정상
2026-05-14 17:00,2026-05-14,17:00,철산4동,맑음,22.5,62,0,2.4,22.6,정상
2026-06-11 09:00,2026-06-11,09:00,철산4동,약한비,22.6,88,0.7,2.9,23.7,우산 준비
2026-06-11 11:00,2026-06-11,11:00,철산4동,비,25.6,80,2.8,3.1,26.4,우산 준비
2026-06-11 13:00,2026-06-11,13:00,철산4동,비,27.8,74,8.6,3.0,28.3,호우주의
2026-06-11 15:00,2026-06-11,15:00,철산4동,비,29.0,73,5.9,3.0,29.5,우산 준비
2026-06-11 17:00,2026-06-11,17:00,철산4동,약한비,26.6,83,1.3,2.9,27.5,우산 준비
2026-07-02 09:00,2026-07-02,09:00,철산4동,맑음,26.3,80,0,2.4,27.1,정상
2026-07-02 11:00,2026-07-02,11:00,철산4동,맑음,29.6,76,0,2.6,30.2,정상
2026-07-02 13:00,2026-07-02,13:00,철산4동,맑음,32.1,70,0,2.3,32.5,폭염주의
2026-07-02 15:00,2026-07-02,15:00,철산4동,맑음,32.6,69,0,2.4,33.0,폭염주의
2026-07-02 17:00,2026-07-02,17:00,철산4동,맑음,30.9,73,0,2.7,31.4,정상
2026-07-09 09:00,2026-07-09,09:00,철산4동,비,24.5,99,4.1,4.2,25.9,우산 준비
2026-07-09 11:00,2026-07-09,11:00,철산4동,비,27.4,91,11.3,4.2,28.5,호우주의
2026-07-09 13:00,2026-07-09,13:00,철산4동,폭우,29.7,88,26.3,4.1,30.7,호우경보
2026-07-09 15:00,2026-07-09,15:00,철산4동,폭우,31.0,87,18.1,3.9,32.0,호우주의
2026-07-09 17:00,2026-07-09,17:00,철산4동,비,29.1,94,5.9,4.2,30.3,우산 준비
2026-07-16 09:00,2026-07-16,09:00,철산4동,맑음,29.6,72,0,2.0,30.1,정상
2026-07-16 11:00,2026-07-16,11:00,철산4동,맑음,32.5,65,0,2.4,32.7,폭염주의
2026-07-16 13:00,2026-07-16,13:00,철산4동,폭염,35.2,60,0,2.0,35.2,폭염경보
2026-07-16 15:00,2026-07-16,15:00,철산4동,폭염,35.7,58,0,2.1,35.7,폭염경보
2026-07-16 17:00,2026-07-16,17:00,철산4동,폭염,33.4,65,0,2.3,33.6,폭염주의
2026-07-20 09:00,2026-07-20,09:00,철산4동,흐림,27.5,89,0,3.4,28.6,관심
2026-07-20 11:00,2026-07-20,11:00,철산4동,약한비,30.5,86,0.8,3.6,31.5,우산 준비
2026-07-20 13:00,2026-07-20,13:00,철산4동,비,32.8,81,8.0,3.9,33.5,호우주의
2026-07-20 15:00,2026-07-20,15:00,철산4동,폭우,33.7,78,28.4,3.7,34.3,호우경보
2026-07-20 17:00,2026-07-20,17:00,철산4동,비,31.6,84,4.7,3.4,32.5,우산 준비
