일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-15 09:00,2026-01-15,09:00,하안4동,한파,-6.7,59,0,4.3,-8.6,한파주의
2026-01-15 11:00,2026-01-15,11:00,하안4동,맑음,-4.0,58,0,4.3,-5.9,정상
2026-01-15 13:00,2026-01-15,13:00,하안4동,맑음,-1.7,48,0,3.9,-3.5,정상
2026-01-15 15:00,2026-01-15,15:00,하안4동,맑음,-0.6,50,0,3.9,-2.4,정상
2026-01-15 17:00,2026-01-15,17:00,하안4동,맑음,-3.1,55,0,4.1,-4.9,정상
2026-02-12 09:00,2026-02-12,09:00,하안4동,눈,-2.8,73,0,3.7,-4.5,정상
2026-02-12 11:00,2026-02-12,11:00,하안4동,약한비,0.1,71,0.6,3.6,-1.5,우산 준비
2026-02-12 13:00,2026-02-12,13:00,하안4동,비,2.7,62,2.4,3.2,1.3,우산 준비
2026-02-12 15:00,2026-02-12,15:00,하안4동,약한비,3.2,64,1.6,3.5,1.6,우산 준비
2026-02-12 17:00,2026-02-12,17:00,하안4동,눈,1.4,67,0,3.2,-0.0,정상
2026-03-12 09:00,2026-03-12,09:00,하안4동,구름조금,5.2,59,0,4.2,5.0,관심
2026-03-12 11:00,2026-03-12,11:00,하안4동,구름조금,8.1,53,0,6.4,7.6,강풍주의
2026-03-12 13:00,2026-03-12,13:00,하안4동,구름조금,10.6,46,0,6.7,10.1,강풍주의
2026-03-12 15:00,2026-03-12,15:00,하안4동,구름조금,11.3,46,0,6.8,10.8,강풍주의
2026-03-12 17:00,2026-03-12,17:00,하안4동,구름조금,9.4,53,0,4.5,9.0,관심
2026-04-09 09:00,2026-04-09,09:00,하안4동,약한비,11.1,71,0.4,3.1,11.5,우산 준비
2026-04-09 11:00,2026-04-09,11:00,하안4동,비,14.1,64,2.3,2.8,14.2,우산 준비
2026-04-09 13:00,2026-04-09,13:00,하안4동,비,16.4,58,4.8,2.8,16.3,우산 준비
2026-04-09 15:00,2026-04-09,15:00,하안4동,비,17.5,58,3.1,2.9,17.4,우산 준비
2026-04-09 17:00,2026-04-09,17:00,하안4동,약한비,15.3,65,0.7,3.2,15.4,우산 준비
2026-05-14 09:00,2026-05-14,09:00,하안4동,맑음,18.4,58,0,2.2,18.3,정상
2026-05-14 11:00,2026-05-14,11:00,하안4동,맑음,21.0,57,0,2.7,20.9,정상
2026-05-14 13:00,2026-05-14,13:00,하안4동,맑음,23.2,49,0,2.6,23.0,정상
2026-05-14 15:00,2026-05-14,15:00,하안4동,맑음,24.0,49,0,2.6,23.8,정상
2026-05-14 17:00,2026-05-14,17:00,하안4동,맑음,22.0,52,0,2.7,21.8,정상
2026-06-11 09:00,2026-06-11,09:00,하안4동,약한비,22.3,80,0.9,3.3,23.0,우산 준비
2026-06-11 11:00,2026-06-11,11:00,하안4동,비,24.7,77,2.5,3.4,25.3,우산 준비
2026-06-11 13:00,2026-06-11,13:00,하안4동,비,27.5,68,7.6,3.4,27.7,우산 준비
2026-06-11 15:00,2026-06-11,15:00,하안4동,비,28.6,68,5.4,2.9,28.9,우산 준비
2026-06-11 17:00,2026-06-11,17:00,하안4동,약한비,26.2,73,1.2,3.3,26.7,우산 준비
2026-07-02 09:00,2026-07-02,09:00,하안4동,맑음,26.1,75,0,2.8,26.7,정상
2026-07-02 11:00,2026-07-02,11:00,하안4동,맑음,29.0,72,0,2.5,29.5,정상
2026-07-02 13:00,2026-07-02,13:00,하안4동,맑음,31.4,65,0,2.9,31.6,정상
2026-07-02 15:00,2026-07-02,15:00,하안4동,맑음,32.5,63,0,2.6,32.6,폭염주의
2026-07-02 17:00,2026-07-02,17:00,하안4동,맑음,29.9,71,0,2.8,30.3,정상
2026-07-09 09:00,2026-07-09,09:00,하안4동,비,24.4,93,3.7,4.4,25.6,우산 준비
2026-07-09 11:00,2026-07-09,11:00,하안4동,비,26.7,85,9.8,4.4,27.5,호우주의
2026-07-09 13:00,2026-07-09,13:00,하안4동,폭우,29.6,82,23.7,4.2,30.3,호우경보
2026-07-09 15:00,2026-07-09,15:00,하안4동,비,30.3,81,16.5,4.4,31.0,호우주의
2026-07-09 17:00,2026-07-09,17:00,하안4동,비,28.3,87,5.6,4.0,29.3,우산 준비
2026-07-16 09:00,2026-07-16,09:00,하안4동,맑음,29.1,67,0,2.5,29.4,정상
2026-07-16 11:00,2026-07-16,11:00,하안4동,맑음,31.5,63,0,2.2,31.6,정상
2026-07-16 13:00,2026-07-16,13:00,하안4동,폭염,34.3,53,0,2.2,34.1,폭염주의
2026-07-16 15:00,2026-07-16,15:00,하안4동,폭염,35.6,51,0,2.3,35.4,폭염경보
2026-07-16 17:00,2026-07-16,17:00,하안4동,폭염,33.5,58,0,2.5,33.4,폭염주의
2026-07-20 09:00,2026-07-20,09:00,하안4동,흐림,27.1,84,0,3.7,28.0,관심
2026-07-20 11:00,2026-07-20,11:00,하안4동,약한비,29.8,81,0.5,3.7,30.5,우산 준비
2026-07-20 13:00,2026-07-20,13:00,하안4동,비,32.3,73,7.0,3.5,32.7,우산 준비
2026-07-20 15:00,2026-07-20,15:00,하안4동,폭우,33.5,74,25.2,3.5,34.0,호우경보
2026-07-20 17:00,2026-07-20,17:00,하안4동,비,30.9,77,4.1,3.6,31.5,우산 준비
