일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-15 09:00,2026-01-15,09:00,소하1동,한파,-6.9,66,0,4.6,-9.0,한파주의
2026-01-15 11:00,2026-01-15,11:00,소하1동,맑음,-4.2,58,0,4.3,-6.1,정상
2026-01-15 13:00,2026-01-15,13:00,소하1동,맑음,-1.6,53,0,4.3,-3.5,정상
2026-01-15 15:00,2026-01-15,15:00,소하1동,맑음,-0.2,49,0,4.4,-2.2,정상
2026-01-15 17:00,2026-01-15,17:00,소하1동,맑음,-2.7,60,0,4.6,-4.8,정상
2026-02-12 09:00,2026-02-12,09:00,소하1동,눈,-2.5,76,0,3.5,-4.1,정상
2026-02-12 11:00,2026-02-12,11:00,소하1동,약한비,0.3,73,0.9,3.8,-1.4,우산 준비
2026-02-12 13:00,2026-02-12,13:00,소하1동,비,2.7,68,2.6,3.8,1.0,우산 준비
2026-02-12 15:00,2026-02-12,15:00,소하1동,약한비,3.8,67,1.6,3.6,2.2,우산 준비
2026-02-12 17:00,2026-02-12,17:00,소하1동,눈,1.2,74,0,3.5,-0.4,정상
2026-03-12 09:00,2026-03-12,09:00,소하1동,구름조금,5.1,63,0,5.0,5.0,관심
2026-03-12 11:00,2026-03-12,11:00,소하1동,강풍,7.9,56,0,7.2,7.4,강풍주의
2026-03-12 13:00,2026-03-12,13:00,소하1동,구름조금,10.4,52,0,6.8,9.9,강풍주의
2026-03-12 15:00,2026-03-12,15:00,소하1동,구름조금,11.6,46,0,6.7,11.1,강풍주의
2026-03-12 17:00,2026-03-12,17:00,소하1동,구름조금,9.7,56,0,5.0,9.3,관심
2026-04-09 09:00,2026-04-09,09:00,소하1동,약한비,11.2,76,0.6,3.1,11.8,우산 준비
2026-04-09 11:00,2026-04-09,11:00,소하1동,비,14.1,69,2.4,3.0,14.4,우산 준비
2026-04-09 13:00,2026-04-09,13:00,소하1동,비,16.5,65,5.4,3.3,16.6,우산 준비
2026-04-09 15:00,2026-04-09,15:00,소하1동,비,17.4,61,3.8,3.4,17.4,우산 준비
2026-04-09 17:00,2026-04-09,17:00,소하1동,약한비,15.4,68,0.6,3.3,15.7,우산 준비
2026-05-14 09:00,2026-05-14,09:00,소하1동,맑음,18.1,64,0,2.9,18.2,정상
2026-05-14 11:00,2026-05-14,11:00,소하1동,맑음,20.9,58,0,2.8,20.8,정상
2026-05-14 13:00,2026-05-14,13:00,소하1동,맑음,23.6,52,0,2.7,23.4,정상
2026-05-14 15:00,2026-05-14,15:00,소하1동,맑음,24.9,50,0,2.5,24.7,정상
2026-05-14 17:00,2026-05-14,17:00,소하1동,맑음,22.5,56,0,2.9,22.3,정상
2026-06-11 09:00,2026-06-11,09:00,소하1동,약한비,21.9,84,0.8,3.5,22.8,우산 준비
2026-06-11 11:00,2026-06-11,11:00,소하1동,비,25.0,79,2.5,3.4,25.7,우산 준비
2026-06-11 13:00,2026-06-11,13:00,소하1동,비,27.8,75,8.3,3.3,28.3,호우주의
2026-06-11 15:00,2026-06-11,15:00,소하1동,비,28.3,69,5.5,3.3,28.6,우산 준비
2026-06-11 17:00,2026-06-11,17:00,소하1동,약한비,26.7,77,1.4,3.6,27.3,우산 준비
2026-07-02 09:00,2026-07-02,09:00,소하1동,맑음,26.5,76,0,2.8,27.1,정상
2026-07-02 11:00,2026-07-02,11:00,소하1동,맑음,29.3,73,0,2.8,29.8,정상
2026-07-02 13:00,2026-07-02,13:00,소하1동,맑음,31.5,65,0,2.9,31.7,정상
2026-07-02 15:00,2026-07-02,15:00,소하1동,맑음,32.6,63,0,2.8,32.7,폭염주의
2026-07-02 17:00,2026-07-02,17:00,소하1동,맑음,30.3,70,0,2.8,30.7,정상
2026-07-09 09:00,2026-07-09,09:00,소하1동,비,23.9,96,3.6,4.6,25.2,우산 준비
2026-07-09 11:00,2026-07-09,11:00,소하1동,비,26.8,90,10.8,4.7,27.8,호우주의
2026-07-09 13:00,2026-07-09,13:00,소하1동,폭우,29.3,82,25.1,4.5,30.0,호우경보
2026-07-09 15:00,2026-07-09,15:00,소하1동,비,30.3,80,17.3,4.6,30.9,호우주의
2026-07-09 17:00,2026-07-09,17:00,소하1동,비,28.4,90,5.6,4.8,29.4,우산 준비
2026-07-16 09:00,2026-07-16,09:00,소하1동,맑음,29.2,67,0,2.3,29.5,정상
2026-07-16 11:00,2026-07-16,11:00,소하1동,맑음,32.3,66,0,2.4,32.5,폭염주의
2026-07-16 13:00,2026-07-16,13:00,소하1동,폭염,34.5,60,0,2.6,34.5,폭염주의
2026-07-16 15:00,2026-07-16,15:00,소하1동,폭염,35.6,57,0,2.8,35.5,폭염경보
2026-07-16 17:00,2026-07-16,17:00,소하1동,폭염,33.4,65,0,2.6,33.6,폭염주의
2026-07-20 09:00,2026-07-20,09:00,소하1동,흐림,27.0,86,0,3.9,27.9,관심
2026-07-20 11:00,2026-07-20,11:00,소하1동,약한비,29.9,81,0.7,4.1,30.6,우산 준비
2026-07-20 13:00,2026-07-20,13:00,소하1동,비,32.7,77,7.7,4.2,33.2,우산 준비
2026-07-20 15:00,2026-07-20,15:00,소하1동,폭우,33.9,73,27.0,4.0,34.3,호우경보
2026-07-20 17:00,2026-07-20,17:00,소하1동,비,31.5,83,4.8,4.2,32.3,우산 준비
