일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),일강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-15 14:00,2026-01-15,14:00,광명7동,약한비,8.4,76,0.1,4.3,4.8,우산 준비
2026-01-20 14:00,2026-01-20,14:00,광명7동,한파,-6.4,40,0.0,3.7,-12.0,한파주의
2026-01-24 14:00,2026-01-24,14:00,광명7동,맑음,-3.5,47,0.0,5.0,-9.6,한파주의
2026-01-29 14:00,2026-01-29,14:00,광명7동,맑음,-2.3,42,0.0,4.3,-8.0,한파주의
2026-02-03 14:00,2026-02-03,14:00,광명7동,맑음,2.6,67,0.0,3.6,-1.7,한파주의
2026-02-07 14:00,2026-02-07,14:00,광명7동,한파,-6.0,41,0.0,5.3,-12.2,한파주의
2026-02-12 14:00,2026-02-12,14:00,광명7동,흐림,6.5,71,0.0,3.7,3.0,정상
2026-02-17 14:00,2026-02-17,14:00,광명7동,맑음,3.9,48,0.0,3.9,-0.5,정상
2026-02-21 14:00,2026-02-21,14:00,광명7동,맑음,15.1,50,0.0,7.1,10.6,정상
2026-02-26 14:00,2026-02-26,14:00,광명7동,흐림,10.9,52,0.0,2.2,7.9,정상
2026-03-03 14:00,2026-03-03,14:00,광명7동,약한비,8.8,61,1.0,5.0,4.6,우산 준비
2026-03-07 14:00,2026-03-07,14:00,광명7동,맑음,3.1,46,0.0,4.7,-1.4,관심
2026-03-12 14:00,2026-03-12,14:00,광명7동,흐림,11.0,49,0.0,2.4,8.9,정상
2026-03-16 14:00,2026-03-16,14:00,광명7동,흐림,10.6,41,0.0,1.7,8.4,정상
2026-03-21 14:00,2026-03-21,14:00,광명7동,흐림,10.1,51,0.0,3.3,7.8,정상
2026-03-26 14:00,2026-03-26,14:00,광명7동,흐림,12.8,71,0.0,3.5,11.7,정상
2026-03-30 14:00,2026-03-30,14:00,광명7동,약한비,14.1,72,1.1,1.3,13.1,우산 준비
2026-04-04 14:00,2026-04-04,14:00,광명7동,흐림,15.9,71,0.0,5.1,13.7,정상
2026-04-09 14:00,2026-04-09,14:00,광명7동,비,8.5,94,13.8,4.7,5.4,우산 준비
2026-04-13 14:00,2026-04-13,14:00,광명7동,구름조금,23.4,42,0.0,2.2,24.1,정상
2026-04-18 14:00,2026-04-18,14:00,광명7동,흐림,22.0,54,0.0,2.2,23.5,정상
2026-04-23 14:00,2026-04-23,14:00,광명7동,흐림,20.1,45,0.0,5.2,18.5,정상
2026-04-27 14:00,2026-04-27,14:00,광명7동,비,18.7,63,2.6,2.8,19.0,우산 준비
2026-05-02 14:00,2026-05-02,14:00,광명7동,약한비,17.7,79,0.6,3.8,16.9,우산 준비
2026-05-07 14:00,2026-05-07,14:00,광명7동,약한비,15.7,84,1.6,4.8,14.1,우산 준비
2026-05-11 14:00,2026-05-11,14:00,광명7동,비,19.0,81,1.4,5.0,18.3,우산 준비
2026-05-16 14:00,2026-05-16,14:00,광명7동,흐림,23.3,76,0.0,3.4,26.8,정상
2026-05-21 14:00,2026-05-21,14:00,광명7동,비,16.8,93,11.3,3.6,16.8,우산 준비
2026-05-25 14:00,2026-05-25,14:00,광명7동,흐림,28.0,60,0.0,1.7,32.2,정상
2026-05-30 14:00,2026-05-30,14:00,광명7동,흐림,25.0,60,0.0,3.9,27.2,정상
2026-06-04 14:00,2026-06-04,14:00,광명7동,비,25.3,84,2.2,3.6,28.6,우산 준비
2026-06-08 14:00,2026-06-08,14:00,광명7동,흐림,24.4,60,0.0,4.1,25.8,정상
2026-06-13 14:00,2026-06-13,14:00,광명7동,흐림,28.2,47,0.0,0.7,32.1,정상
2026-06-18 14:00,2026-06-18,14:00,광명7동,흐림,28.4,69,0.0,3.4,32.9,폭염주의
2026-06-22 14:00,2026-06-22,14:00,광명7동,약한비,25.9,70,1.6,2.5,28.4,우산 준비
2026-06-27 14:00,2026-06-27,14:00,광명7동,흐림,29.9,56,0.0,2.3,33.9,폭염주의
2026-07-02 14:00,2026-07-02,14:00,광명7동,약한비,25.5,78,0.3,3.3,28.4,우산 준비
2026-07-06 14:00,2026-07-06,14:00,광명7동,약한비,26.6,90,12.4,4.2,31.0,우산 준비
2026-07-11 14:00,2026-07-11,14:00,광명7동,구름조금,30.8,72,0.0,3.9,36.7,폭염경보
2026-07-15 14:00,2026-07-15,14:00,광명7동,약한비,26.6,86,1.4,5.3,29.9,우산 준비
2026-07-20 14:00,2026-07-20,14:00,광명7동,비,23.9,91,32.5,2.5,27.7,우산 준비
2026-07-25 14:00,2026-07-25,14:00,광명7동,약한비,29.0,81,0.1,3.9,34.0,폭염주의
2026-07-29 14:00,2026-07-29,14:00,광명7동,흐림,29.3,82,0.0,5.0,35.2,폭염경보
2026-08-03 14:00,2026-08-03,14:00,광명7동,폭염,34.3,63,0.0,1.4,42.6,폭염경보
2026-08-08 14:00,2026-08-08,14:00,광명7동,맑음,31.9,70,0.0,6.1,36.9,폭염경보
2026-08-12 14:00,2026-08-12,14:00,광명7동,맑음,29.1,61,0.0,4.5,32.4,정상
2026-08-17 14:00,2026-08-17,14:00,광명7동,비,27.2,85,3.5,1.9,32.5,우산 준비
2026-08-22 14:00,2026-08-22,14:00,광명7동,강한비,25.5,95,64.8,1.6,31.2,호우주의
2026-08-26 14:00,2026-08-26,14:00,광명7동,흐림,29.1,75,0.0,2.3,34.1,폭염경보
2026-08-31 14:00,2026-08-31,14:00,광명7동,강한비,23.1,95,96.3,3.2,26.4,호우주의
