일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),일강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-15 14:00,2026-01-15,14:00,철산2동,약한비,8.5,76,0.1,4.3,4.9,우산 준비
2026-01-20 14:00,2026-01-20,14:00,철산2동,한파,-6.3,40,0.0,3.7,-11.9,한파주의
2026-01-24 14:00,2026-01-24,14:00,철산2동,맑음,-3.4,47,0.0,5.0,-9.5,한파주의
2026-01-29 14:00,2026-01-29,14:00,철산2동,맑음,-2.2,42,0.0,4.3,-7.9,한파주의
2026-02-03 14:00,2026-02-03,14:00,철산2동,맑음,2.7,67,0.0,3.6,-1.6,한파주의
2026-02-07 14:00,2026-02-07,14:00,철산2동,한파,-5.9,41,0.0,5.3,-12.0,한파주의
2026-02-12 14:00,2026-02-12,14:00,철산2동,흐림,6.6,71,0.0,3.7,3.2,정상
2026-02-17 14:00,2026-02-17,14:00,철산2동,맑음,4.0,48,0.0,3.9,-0.3,정상
2026-02-21 14:00,2026-02-21,14:00,철산2동,맑음,15.2,50,0.0,7.1,10.7,정상
2026-02-26 14:00,2026-02-26,14:00,철산2동,흐림,11.0,52,0.0,2.2,8.0,정상
2026-03-03 14:00,2026-03-03,14:00,철산2동,약한비,8.9,61,1.0,5.0,4.7,우산 준비
2026-03-07 14:00,2026-03-07,14:00,철산2동,맑음,3.2,46,0.0,4.7,-1.2,관심
2026-03-12 14:00,2026-03-12,14:00,철산2동,흐림,11.1,49,0.0,2.4,9.0,정상
2026-03-16 14:00,2026-03-16,14:00,철산2동,흐림,10.7,41,0.0,1.7,8.5,정상
2026-03-21 14:00,2026-03-21,14:00,철산2동,흐림,10.2,51,0.0,3.3,7.9,정상
2026-03-26 14:00,2026-03-26,14:00,철산2동,흐림,12.9,71,0.0,3.5,11.8,정상
2026-03-30 14:00,2026-03-30,14:00,철산2동,약한비,14.2,72,1.1,1.3,13.2,우산 준비
2026-04-04 14:00,2026-04-04,14:00,철산2동,흐림,16.0,71,0.0,5.1,13.8,정상
2026-04-09 14:00,2026-04-09,14:00,철산2동,비,8.6,94,13.8,4.7,5.5,우산 준비
2026-04-13 14:00,2026-04-13,14:00,철산2동,구름조금,23.5,42,0.0,2.2,24.2,정상
2026-04-18 14:00,2026-04-18,14:00,철산2동,흐림,22.1,54,0.0,2.2,23.6,정상
2026-04-23 14:00,2026-04-23,14:00,철산2동,흐림,20.2,45,0.0,5.2,18.6,정상
2026-04-27 14:00,2026-04-27,14:00,철산2동,비,18.8,63,2.6,2.8,19.2,우산 준비
2026-05-02 14:00,2026-05-02,14:00,철산2동,약한비,17.8,79,0.6,3.8,17.1,우산 준비
2026-05-07 14:00,2026-05-07,14:00,철산2동,약한비,15.8,84,1.6,4.8,14.3,우산 준비
2026-05-11 14:00,2026-05-11,14:00,철산2동,비,19.1,81,1.4,5.0,18.4,우산 준비
2026-05-16 14:00,2026-05-16,14:00,철산2동,흐림,23.4,76,0.0,3.4,27.0,정상
2026-05-21 14:00,2026-05-21,14:00,철산2동,비,16.9,93,11.3,3.6,16.9,우산 준비
2026-05-25 14:00,2026-05-25,14:00,철산2동,흐림,28.1,60,0.0,1.7,32.4,정상
2026-05-30 14:00,2026-05-30,14:00,철산2동,흐림,25.1,60,0.0,3.9,27.4,정상
2026-06-04 14:00,2026-06-04,14:00,철산2동,비,25.4,84,2.2,3.6,28.8,우산 준비
2026-06-08 14:00,2026-06-08,14:00,철산2동,흐림,24.5,60,0.0,4.1,26.0,정상
2026-06-13 14:00,2026-06-13,14:00,철산2동,흐림,28.3,47,0.0,0.7,32.2,정상
2026-06-18 14:00,2026-06-18,14:00,철산2동,흐림,28.5,69,0.0,3.4,33.0,폭염주의
2026-06-22 14:00,2026-06-22,14:00,철산2동,약한비,26.0,70,1.6,2.5,28.5,우산 준비
2026-06-27 14:00,2026-06-27,14:00,철산2동,흐림,30.0,56,0.0,2.3,34.1,폭염주의
2026-07-02 14:00,2026-07-02,14:00,철산2동,약한비,25.6,78,0.3,3.3,28.5,우산 준비
2026-07-06 14:00,2026-07-06,14:00,철산2동,약한비,26.7,90,12.4,4.2,31.1,우산 준비
2026-07-11 14:00,2026-07-11,14:00,철산2동,구름조금,30.9,72,0.0,3.9,36.9,폭염경보
2026-07-15 14:00,2026-07-15,14:00,철산2동,약한비,26.7,86,1.4,5.3,30.1,우산 준비
2026-07-20 14:00,2026-07-20,14:00,철산2동,비,24.0,91,32.5,2.5,27.9,우산 준비
2026-07-25 14:00,2026-07-25,14:00,철산2동,약한비,29.1,81,0.1,3.9,34.1,폭염주의
2026-07-29 14:00,2026-07-29,14:00,철산2동,흐림,29.4,82,0.0,5.0,35.4,폭염경보
2026-08-03 14:00,2026-08-03,14:00,철산2동,폭염,34.4,63,0.0,1.4,42.8,폭염경보
2026-08-08 14:00,2026-08-08,14:00,철산2동,폭염,32.0,70,0.0,6.1,37.1,폭염경보
2026-08-12 14:00,2026-08-12,14:00,철산2동,맑음,29.2,61,0.0,4.5,32.6,정상
2026-08-17 14:00,2026-08-17,14:00,철산2동,비,27.3,85,3.5,1.9,32.7,우산 준비
2026-08-22 14:00,2026-08-22,14:00,철산2동,강한비,25.6,95,64.8,1.6,31.3,호우주의
2026-08-26 14:00,2026-08-26,14:00,철산2동,흐림,29.2,75,0.0,2.3,34.2,폭염경보
2026-08-31 14:00,2026-08-31,14:00,철산2동,강한비,23.2,95,96.3,3.2,26.6,호우주의
