일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-15 09:00,2026-01-15,09:00,철산3동,한파,-6.5,63,0,4.4,-8.5,한파주의
2026-01-15 11:00,2026-01-15,11:00,철산3동,맑음,-3.5,60,0,4.8,-5.7,정상
2026-01-15 13:00,2026-01-15,13:00,철산3동,맑음,-1.0,53,0,4.6,-3.1,정상
2026-01-15 15:00,2026-01-15,15:00,철산3동,맑음,-0.2,53,0,4.7,-2.3,정상
2026-01-15 17:00,2026-01-15,17:00,철산3동,맑음,-2.2,58,0,4.7,-4.3,정상
2026-02-12 09:00,2026-02-12,09:00,철산3동,눈,-2.9,76,0,3.8,-4.6,정상
2026-02-12 11:00,2026-02-12,11:00,철산3동,약한비,0.4,73,0.6,4.1,-1.4,우산 준비
2026-02-12 13:00,2026-02-12,13:00,철산3동,비,3.1,65,2.7,4.2,1.2,우산 준비
2026-02-12 15:00,2026-02-12,15:00,철산3동,약한비,3.4,66,1.4,3.8,1.7,우산 준비
2026-02-12 17:00,2026-02-12,17:00,철산3동,눈,1.3,72,0,4.0,-0.5,정상
2026-03-12 09:00,2026-03-12,09:00,철산3동,구름조금,5.5,62,0,4.8,5.4,관심
2026-03-12 11:00,2026-03-12,11:00,철산3동,강풍,8.2,56,0,7.3,7.7,강풍주의
2026-03-12 13:00,2026-03-12,13:00,철산3동,강풍,10.6,52,0,7.3,10.0,강풍주의
2026-03-12 15:00,2026-03-12,15:00,철산3동,강풍,11.6,50,0,7.3,11.0,강풍주의
2026-03-12 17:00,2026-03-12,17:00,철산3동,구름조금,9.8,57,0,4.9,9.5,관심
2026-04-09 09:00,2026-04-09,09:00,철산3동,약한비,11.1,72,0.5,3.2,11.5,우산 준비
2026-04-09 11:00,2026-04-09,11:00,철산3동,비,13.9,71,2.1,3.8,14.2,우산 준비
2026-04-09 13:00,2026-04-09,13:00,철산3동,비,16.7,64,5.4,3.5,16.8,우산 준비
2026-04-09 15:00,2026-04-09,15:00,철산3동,비,17.7,60,3.5,3.6,17.6,우산 준비
2026-04-09 17:00,2026-04-09,17:00,철산3동,약한비,15.7,66,0.7,3.8,15.8,우산 준비
2026-05-14 09:00,2026-05-14,09:00,철산3동,맑음,18.2,63,0,3.1,18.3,정상
2026-05-14 11:00,2026-05-14,11:00,철산3동,맑음,21.3,57,0,3.0,21.1,정상
2026-05-14 13:00,2026-05-14,13:00,철산3동,맑음,23.6,52,0,2.9,23.4,정상
2026-05-14 15:00,2026-05-14,15:00,철산3동,맑음,24.4,51,0,2.8,24.2,정상
2026-05-14 17:00,2026-05-14,17:00,철산3동,맑음,22.7,56,0,3.1,22.5,정상
2026-06-11 09:00,2026-06-11,09:00,철산3동,약한비,22.4,85,0.6,3.6,23.3,우산 준비
2026-06-11 11:00,2026-06-11,11:00,철산3동,비,25.4,78,2.8,3.9,26.0,우산 준비
2026-06-11 13:00,2026-06-11,13:00,철산3동,비,28.0,73,8.0,3.5,28.4,호우주의
2026-06-11 15:00,2026-06-11,15:00,철산3동,비,28.4,70,5.8,3.4,28.7,우산 준비
2026-06-11 17:00,2026-06-11,17:00,철산3동,약한비,26.3,80,1.1,3.8,27.0,우산 준비
2026-07-02 09:00,2026-07-02,09:00,철산3동,맑음,26.4,77,0,3.2,27.0,정상
2026-07-02 11:00,2026-07-02,11:00,철산3동,맑음,29.2,74,0,3.4,29.7,정상
2026-07-02 13:00,2026-07-02,13:00,철산3동,맑음,31.6,65,0,3.4,31.7,정상
2026-07-02 15:00,2026-07-02,15:00,철산3동,맑음,32.6,64,0,3.3,32.7,폭염주의
2026-07-02 17:00,2026-07-02,17:00,철산3동,맑음,30.4,74,0,3.1,30.9,정상
2026-07-09 09:00,2026-07-09,09:00,철산3동,비,24.3,95,3.8,4.5,25.5,우산 준비
2026-07-09 11:00,2026-07-09,11:00,철산3동,비,27.2,88,10.5,4.8,28.1,호우주의
2026-07-09 13:00,2026-07-09,13:00,철산3동,폭우,29.7,84,25.1,4.6,30.5,호우경보
2026-07-09 15:00,2026-07-09,15:00,철산3동,비,30.8,82,17.1,4.7,31.5,호우주의
2026-07-09 17:00,2026-07-09,17:00,철산3동,비,28.9,89,5.6,4.6,29.9,우산 준비
2026-07-16 09:00,2026-07-16,09:00,철산3동,맑음,29.3,70,0,2.9,29.7,정상
2026-07-16 11:00,2026-07-16,11:00,철산3동,맑음,32.2,64,0,2.7,32.3,폭염주의
2026-07-16 13:00,2026-07-16,13:00,철산3동,폭염,34.9,56,0,2.9,34.7,폭염주의
2026-07-16 15:00,2026-07-16,15:00,철산3동,폭염,35.4,58,0,2.7,35.3,폭염경보
2026-07-16 17:00,2026-07-16,17:00,철산3동,폭염,33.3,65,0,2.6,33.5,폭염주의
2026-07-20 09:00,2026-07-20,09:00,철산3동,흐림,27.6,89,0,4.2,28.6,관심
2026-07-20 11:00,2026-07-20,11:00,철산3동,약한비,29.9,81,0.8,4.6,30.6,우산 준비
2026-07-20 13:00,2026-07-20,13:00,철산3동,비,32.8,79,7.5,4.3,33.4,우산 준비
2026-07-20 15:00,2026-07-20,15:00,철산3동,폭우,33.4,74,27.1,4.0,33.8,호우경보
2026-07-20 17:00,2026-07-20,17:00,철산3동,비,31.4,80,4.7,4.2,32.1,우산 준비
