일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-15 09:00,2026-01-15,09:00,하안1동,한파,-6.5,62,0,4.0,-8.3,한파주의
2026-01-15 11:00,2026-01-15,11:00,하안1동,맑음,-3.3,58,0,4.2,-5.2,정상
2026-01-15 13:00,2026-01-15,13:00,하안1동,맑음,-0.5,49,0,4.1,-2.3,정상
2026-01-15 15:00,2026-01-15,15:00,하안1동,맑음,0.1,46,0,4.3,-1.8,정상
2026-01-15 17:00,2026-01-15,17:00,하안1동,맑음,-2.2,53,0,3.9,-4.0,정상
2026-02-12 09:00,2026-02-12,09:00,하안1동,눈,-2.2,76,0,3.4,-3.7,정상
2026-02-12 11:00,2026-02-12,11:00,하안1동,약한비,0.5,72,0.4,3.8,-1.2,우산 준비
2026-02-12 13:00,2026-02-12,13:00,하안1동,비,3.2,66,2.0,3.7,1.5,우산 준비
2026-02-12 15:00,2026-02-12,15:00,하안1동,약한비,4.3,62,1.0,3.9,2.5,우산 준비
2026-02-12 17:00,2026-02-12,17:00,하안1동,눈,2.2,67,0,3.3,0.7,정상
2026-03-12 09:00,2026-03-12,09:00,하안1동,구름조금,5.6,57,0,4.5,5.3,관심
2026-03-12 11:00,2026-03-12,11:00,하안1동,강풍,8.7,52,0,7.1,8.1,강풍주의
2026-03-12 13:00,2026-03-12,13:00,하안1동,구름조금,10.9,47,0,6.9,10.3,강풍주의
2026-03-12 15:00,2026-03-12,15:00,하안1동,구름조금,12.2,44,0,6.8,11.7,강풍주의
2026-03-12 17:00,2026-03-12,17:00,하안1동,구름조금,10.1,52,0,4.7,9.7,관심
2026-04-09 09:00,2026-04-09,09:00,하안1동,약한비,12.1,70,0.4,2.9,12.5,우산 준비
2026-04-09 11:00,2026-04-09,11:00,하안1동,약한비,14.6,68,1.7,3.4,14.8,우산 준비
2026-04-09 13:00,2026-04-09,13:00,하안1동,비,17.0,59,4.2,2.8,16.9,우산 준비
2026-04-09 15:00,2026-04-09,15:00,하안1동,비,18.0,58,2.9,2.9,17.9,우산 준비
2026-04-09 17:00,2026-04-09,17:00,하안1동,약한비,16.1,63,0.7,3.1,16.2,우산 준비
2026-05-14 09:00,2026-05-14,09:00,하안1동,맑음,18.8,59,0,2.8,18.7,정상
2026-05-14 11:00,2026-05-14,11:00,하안1동,맑음,21.8,55,0,2.8,21.6,정상
2026-05-14 13:00,2026-05-14,13:00,하안1동,맑음,23.9,50,0,2.4,23.7,정상
2026-05-14 15:00,2026-05-14,15:00,하안1동,맑음,25.0,47,0,2.6,24.8,정상
2026-05-14 17:00,2026-05-14,17:00,하안1동,맑음,23.2,56,0,2.7,23.0,정상
2026-06-11 09:00,2026-06-11,09:00,하안1동,약한비,22.7,82,0.7,3.4,23.5,우산 준비
2026-06-11 11:00,2026-06-11,11:00,하안1동,약한비,25.4,76,1.8,3.5,26.0,우산 준비
2026-06-11 13:00,2026-06-11,13:00,하안1동,비,28.0,70,6.0,3.3,28.3,우산 준비
2026-06-11 15:00,2026-06-11,15:00,하안1동,비,29.1,66,4.5,3.0,29.3,우산 준비
2026-06-11 17:00,2026-06-11,17:00,하안1동,약한비,27.2,77,1.1,3.6,27.8,우산 준비
2026-07-02 09:00,2026-07-02,09:00,하안1동,맑음,26.6,74,0,3.0,27.1,정상
2026-07-02 11:00,2026-07-02,11:00,하안1동,맑음,29.3,70,0,3.0,29.7,정상
2026-07-02 13:00,2026-07-02,13:00,하안1동,맑음,31.9,66,0,2.6,32.1,정상
2026-07-02 15:00,2026-07-02,15:00,하안1동,폭염,33.1,64,0,2.5,33.3,폭염주의
2026-07-02 17:00,2026-07-02,17:00,하안1동,맑음,30.8,69,0,2.6,31.2,정상
2026-07-09 09:00,2026-07-09,09:00,하안1동,비,24.6,92,3.0,4.6,25.7,우산 준비
2026-07-09 11:00,2026-07-09,11:00,하안1동,비,27.2,86,8.0,4.6,28.1,호우주의
2026-07-09 13:00,2026-07-09,13:00,하안1동,폭우,29.8,80,18.9,4.3,30.5,호우주의
2026-07-09 15:00,2026-07-09,15:00,하안1동,비,31.2,80,13.1,4.4,31.8,호우주의
2026-07-09 17:00,2026-07-09,17:00,하안1동,비,29.2,87,4.2,4.5,30.1,우산 준비
2026-07-16 09:00,2026-07-16,09:00,하안1동,맑음,30.1,68,0,2.4,30.4,정상
2026-07-16 11:00,2026-07-16,11:00,하안1동,맑음,32.7,63,0,2.5,32.8,폭염주의
2026-07-16 13:00,2026-07-16,13:00,하안1동,폭염,35.0,57,0,2.3,34.9,폭염경보
2026-07-16 15:00,2026-07-16,15:00,하안1동,폭염,36.4,55,0,2.7,36.2,폭염경보
2026-07-16 17:00,2026-07-16,17:00,하안1동,폭염,34.3,58,0,2.4,34.2,폭염주의
2026-07-20 09:00,2026-07-20,09:00,하안1동,흐림,27.7,87,0,4.2,28.6,관심
2026-07-20 11:00,2026-07-20,11:00,하안1동,약한비,30.2,78,0.5,3.7,30.8,우산 준비
2026-07-20 13:00,2026-07-20,13:00,하안1동,비,33.4,75,5.6,4.1,33.9,우산 준비
2026-07-20 15:00,2026-07-20,15:00,하안1동,폭우,34.4,70,20.4,3.8,34.7,호우경보
2026-07-20 17:00,2026-07-20,17:00,하안1동,비,31.7,80,3.3,4.1,32.4,우산 준비
