일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),일강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-15 14:00,2026-01-15,14:00,하안3동,약한비,8.5,76,0.1,4.3,4.9,우산 준비
2026-01-20 14:00,2026-01-20,14:00,하안3동,한파,-6.3,40,0.0,3.7,-12.0,한파주의
2026-01-24 14:00,2026-01-24,14:00,하안3동,맑음,-3.4,47,0.0,5.0,-9.5,한파주의
2026-01-29 14:00,2026-01-29,14:00,하안3동,맑음,-2.3,42,0.0,4.3,-7.9,한파주의
2026-02-03 14:00,2026-02-03,14:00,하안3동,맑음,2.6,67,0.0,3.6,-1.7,한파주의
2026-02-07 14:00,2026-02-07,14:00,하안3동,한파,-6.0,41,0.0,5.3,-12.1,한파주의
2026-02-12 14:00,2026-02-12,14:00,하안3동,흐림,6.6,71,0.0,3.7,3.1,정상
2026-02-17 14:00,2026-02-17,14:00,하안3동,맑음,4.0,48,0.0,3.9,-0.4,정상
2026-02-21 14:00,2026-02-21,14:00,하안3동,맑음,15.2,50,0.0,7.1,10.6,정상
2026-02-26 14:00,2026-02-26,14:00,하안3동,흐림,11.0,52,0.0,2.2,7.9,정상
2026-03-03 14:00,2026-03-03,14:00,하안3동,약한비,8.8,61,1.0,5.0,4.7,우산 준비
2026-03-07 14:00,2026-03-07,14:00,하안3동,맑음,3.1,46,0.0,4.7,-1.3,관심
2026-03-12 14:00,2026-03-12,14:00,하안3동,흐림,11.1,49,0.0,2.4,9.0,정상
2026-03-16 14:00,2026-03-16,14:00,하안3동,흐림,10.7,41,0.0,1.7,8.4,정상
2026-03-21 14:00,2026-03-21,14:00,하안3동,흐림,10.2,51,0.0,3.3,7.8,정상
2026-03-26 14:00,2026-03-26,14:00,하안3동,흐림,12.8,71,0.0,3.5,11.8,정상
2026-03-30 14:00,2026-03-30,14:00,하안3동,약한비,14.1,72,1.1,1.3,13.2,우산 준비
2026-04-04 14:00,2026-04-04,14:00,하안3동,흐림,16.0,71,0.0,5.1,13.8,정상
2026-04-09 14:00,2026-04-09,14:00,하안3동,비,8.5,94,13.8,4.7,5.4,우산 준비
2026-04-13 14:00,2026-04-13,14:00,하안3동,구름조금,23.5,42,0.0,2.2,24.1,정상
2026-04-18 14:00,2026-04-18,14:00,하안3동,흐림,22.0,54,0.0,2.2,23.5,정상
2026-04-23 14:00,2026-04-23,14:00,하안3동,흐림,20.2,45,0.0,5.2,18.5,정상
2026-04-27 14:00,2026-04-27,14:00,하안3동,비,18.8,63,2.6,2.8,19.1,우산 준비
2026-05-02 14:00,2026-05-02,14:00,하안3동,약한비,17.7,79,0.6,3.8,17.0,우산 준비
2026-05-07 14:00,2026-05-07,14:00,하안3동,약한비,15.8,84,1.6,4.8,14.2,우산 준비
2026-05-11 14:00,2026-05-11,14:00,하안3동,비,19.1,81,1.4,5.0,18.4,우산 준비
2026-05-16 14:00,2026-05-16,14:00,하안3동,흐림,23.4,76,0.0,3.4,26.9,정상
2026-05-21 14:00,2026-05-21,14:00,하안3동,비,16.8,93,11.3,3.6,16.9,우산 준비
2026-05-25 14:00,2026-05-25,14:00,하안3동,흐림,28.0,60,0.0,1.7,32.3,정상
2026-05-30 14:00,2026-05-30,14:00,하안3동,흐림,25.1,60,0.0,3.9,27.3,정상
2026-06-04 14:00,2026-06-04,14:00,하안3동,비,25.4,84,2.2,3.6,28.7,우산 준비
2026-06-08 14:00,2026-06-08,14:00,하안3동,흐림,24.5,60,0.0,4.1,25.9,정상
2026-06-13 14:00,2026-06-13,14:00,하안3동,흐림,28.2,47,0.0,0.7,32.2,정상
2026-06-18 14:00,2026-06-18,14:00,하안3동,흐림,28.5,69,0.0,3.4,32.9,폭염주의
2026-06-22 14:00,2026-06-22,14:00,하안3동,약한비,25.9,70,1.6,2.5,28.5,우산 준비
2026-06-27 14:00,2026-06-27,14:00,하안3동,흐림,30.0,56,0.0,2.3,34.0,폭염주의
2026-07-02 14:00,2026-07-02,14:00,하안3동,약한비,25.6,78,0.3,3.3,28.5,우산 준비
2026-07-06 14:00,2026-07-06,14:00,하안3동,약한비,26.6,90,12.4,4.2,31.1,우산 준비
2026-07-11 14:00,2026-07-11,14:00,하안3동,구름조금,30.8,72,0.0,3.9,36.8,폭염경보
2026-07-15 14:00,2026-07-15,14:00,하안3동,약한비,26.7,86,1.4,5.3,30.0,우산 준비
2026-07-20 14:00,2026-07-20,14:00,하안3동,비,24.0,91,32.5,2.5,27.8,우산 준비
2026-07-25 14:00,2026-07-25,14:00,하안3동,약한비,29.1,81,0.1,3.9,34.1,폭염주의
2026-07-29 14:00,2026-07-29,14:00,하안3동,흐림,29.3,82,0.0,5.0,35.3,폭염경보
2026-08-03 14:00,2026-08-03,14:00,하안3동,폭염,34.3,63,0.0,1.4,42.7,폭염경보
2026-08-08 14:00,2026-08-08,14:00,하안3동,맑음,32.0,70,0.0,6.1,37.0,폭염경보
2026-08-12 14:00,2026-08-12,14:00,하안3동,맑음,29.1,61,0.0,4.5,32.5,정상
2026-08-17 14:00,2026-08-17,14:00,하안3동,비,27.2,85,3.5,1.9,32.6,우산 준비
2026-08-22 14:00,2026-08-22,14:00,하안3동,강한비,25.6,95,64.8,1.6,31.2,호우주의
2026-08-26 14:00,2026-08-26,14:00,하안3동,흐림,29.1,75,0.0,2.3,34.1,폭염경보
2026-08-31 14:00,2026-08-31,14:00,하안3동,강한비,23.1,95,96.3,3.2,26.5,호우주의
