일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-15 09:00,2026-01-15,09:00,소하2동,한파,-6.5,69,0,4.6,-8.6,한파주의
2026-01-15 11:00,2026-01-15,11:00,소하2동,맑음,-4.0,62,0,4.4,-6.0,정상
2026-01-15 13:00,2026-01-15,13:00,소하2동,맑음,-1.4,58,0,4.5,-3.4,정상
2026-01-15 15:00,2026-01-15,15:00,소하2동,맑음,-0.5,52,0,4.4,-2.5,정상
2026-01-15 17:00,2026-01-15,17:00,소하2동,맑음,-2.6,63,0,4.4,-4.6,정상
2026-02-12 09:00,2026-02-12,09:00,소하2동,눈,-2.8,83,0,3.7,-4.5,정상
2026-02-12 11:00,2026-02-12,11:00,소하2동,약한비,0.3,76,1.0,3.8,-1.4,우산 준비
2026-02-12 13:00,2026-02-12,13:00,소하2동,비,2.6,70,2.9,3.9,0.8,우산 준비
2026-02-12 15:00,2026-02-12,15:00,소하2동,약한비,4.0,68,1.9,3.9,2.2,우산 준비
2026-02-12 17:00,2026-02-12,17:00,소하2동,눈,1.8,74,0,3.7,0.1,정상
2026-03-12 09:00,2026-03-12,09:00,소하2동,구름조금,5.5,66,0,4.7,5.6,관심
2026-03-12 11:00,2026-03-12,11:00,소하2동,강풍,8.3,57,0,7.3,7.8,강풍주의
2026-03-12 13:00,2026-03-12,13:00,소하2동,강풍,10.9,55,0,7.0,10.3,강풍주의
2026-03-12 15:00,2026-03-12,15:00,소하2동,강풍,11.8,49,0,7.0,11.2,강풍주의
2026-03-12 17:00,2026-03-12,17:00,소하2동,구름조금,9.4,58,0,4.9,9.1,관심
2026-04-09 09:00,2026-04-09,09:00,소하2동,약한비,11.5,78,0.6,3.7,12.1,우산 준비
2026-04-09 11:00,2026-04-09,11:00,소하2동,비,14.2,70,2.3,3.5,14.5,우산 준비
2026-04-09 13:00,2026-04-09,13:00,소하2동,비,16.6,68,5.5,3.6,16.8,우산 준비
2026-04-09 15:00,2026-04-09,15:00,소하2동,비,17.7,66,3.7,3.7,17.8,우산 준비
2026-04-09 17:00,2026-04-09,17:00,소하2동,약한비,15.9,73,0.8,3.6,16.3,우산 준비
2026-05-14 09:00,2026-05-14,09:00,소하2동,맑음,18.5,66,0,2.8,18.7,정상
2026-05-14 11:00,2026-05-14,11:00,소하2동,맑음,21.5,61,0,3.0,21.5,정상
2026-05-14 13:00,2026-05-14,13:00,소하2동,맑음,23.9,53,0,2.8,23.7,정상
2026-05-14 15:00,2026-05-14,15:00,소하2동,맑음,25.0,54,0,3.2,24.7,정상
2026-05-14 17:00,2026-05-14,17:00,소하2동,맑음,22.3,59,0,3.2,22.2,정상
2026-06-11 09:00,2026-06-11,09:00,소하2동,약한비,22.4,86,0.9,3.5,23.4,우산 준비
2026-06-11 11:00,2026-06-11,11:00,소하2동,비,25.2,83,2.6,3.5,26.0,우산 준비
2026-06-11 13:00,2026-06-11,13:00,소하2동,비,27.6,77,8.6,3.4,28.2,호우주의
2026-06-11 15:00,2026-06-11,15:00,소하2동,비,28.7,76,5.8,3.6,29.3,우산 준비
2026-06-11 17:00,2026-06-11,17:00,소하2동,약한비,26.8,80,1.3,3.8,27.5,우산 준비
2026-07-02 09:00,2026-07-02,09:00,소하2동,맑음,26.4,80,0,3.1,27.2,정상
2026-07-02 11:00,2026-07-02,11:00,소하2동,맑음,29.0,78,0,3.2,29.7,정상
2026-07-02 13:00,2026-07-02,13:00,소하2동,맑음,31.7,68,0,3.2,32.0,정상
2026-07-02 15:00,2026-07-02,15:00,소하2동,맑음,32.4,69,0,3.4,32.7,폭염주의
2026-07-02 17:00,2026-07-02,17:00,소하2동,맑음,30.5,75,0,3.2,31.0,정상
2026-07-09 09:00,2026-07-09,09:00,소하2동,비,24.4,96,4.0,4.8,25.7,우산 준비
2026-07-09 11:00,2026-07-09,11:00,소하2동,비,27.2,91,11.3,4.9,28.2,호우주의
2026-07-09 13:00,2026-07-09,13:00,소하2동,폭우,29.9,89,26.7,5.0,30.9,호우경보
2026-07-09 15:00,2026-07-09,15:00,소하2동,폭우,30.6,83,18.3,4.9,31.3,호우주의
2026-07-09 17:00,2026-07-09,17:00,소하2동,비,28.3,93,5.9,4.8,29.4,우산 준비
2026-07-16 09:00,2026-07-16,09:00,소하2동,맑음,29.7,74,0,2.5,30.3,정상
2026-07-16 11:00,2026-07-16,11:00,소하2동,맑음,32.5,67,0,3.0,32.7,폭염주의
2026-07-16 13:00,2026-07-16,13:00,소하2동,폭염,34.7,62,0,2.9,34.7,폭염주의
2026-07-16 15:00,2026-07-16,15:00,소하2동,폭염,36.0,58,0,3.0,35.9,폭염경보
2026-07-16 17:00,2026-07-16,17:00,소하2동,폭염,33.5,68,0,2.9,33.8,폭염주의
2026-07-20 09:00,2026-07-20,09:00,소하2동,흐림,27.7,91,0,4.5,28.8,관심
2026-07-20 11:00,2026-07-20,11:00,소하2동,약한비,30.0,85,0.4,4.2,30.9,우산 준비
2026-07-20 13:00,2026-07-20,13:00,소하2동,비,33.1,81,8.1,4.4,33.8,호우주의
2026-07-20 15:00,2026-07-20,15:00,소하2동,폭우,33.8,77,28.4,4.2,34.3,호우경보
2026-07-20 17:00,2026-07-20,17:00,소하2동,비,31.9,86,4.7,4.4,32.8,우산 준비
