일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),일강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-15 14:00,2026-01-15,14:00,일직동,약한눈,7.9,76,0.1,4.3,4.2,우산 준비
2026-01-20 14:00,2026-01-20,14:00,일직동,한파,-6.9,40,0.0,3.7,-12.6,한파주의
2026-01-24 14:00,2026-01-24,14:00,일직동,한파,-4.0,47,0.0,5.0,-10.1,한파주의
2026-01-29 14:00,2026-01-29,14:00,일직동,맑음,-2.9,42,0.0,4.3,-8.5,한파주의
2026-02-03 14:00,2026-02-03,14:00,일직동,맑음,2.0,67,0.0,3.6,-2.3,한파주의
2026-02-07 14:00,2026-02-07,14:00,일직동,한파,-6.6,41,0.0,5.3,-12.7,한파주의
2026-02-12 14:00,2026-02-12,14:00,일직동,흐림,6.0,71,0.0,3.7,2.4,정상
2026-02-17 14:00,2026-02-17,14:00,일직동,맑음,3.4,48,0.0,3.9,-1.0,정상
2026-02-21 14:00,2026-02-21,14:00,일직동,맑음,14.6,50,0.0,7.1,10.0,정상
2026-02-26 14:00,2026-02-26,14:00,일직동,흐림,10.4,52,0.0,2.2,7.3,정상
2026-03-03 14:00,2026-03-03,14:00,일직동,약한비,8.2,61,1.0,5.0,4.0,우산 준비
2026-03-07 14:00,2026-03-07,14:00,일직동,맑음,2.5,46,0.0,4.7,-1.9,관심
2026-03-12 14:00,2026-03-12,14:00,일직동,흐림,10.5,49,0.0,2.4,8.3,정상
2026-03-16 14:00,2026-03-16,14:00,일직동,흐림,10.1,41,0.0,1.7,7.8,정상
2026-03-21 14:00,2026-03-21,14:00,일직동,흐림,9.6,51,0.0,3.3,7.2,정상
2026-03-26 14:00,2026-03-26,14:00,일직동,흐림,12.2,71,0.0,3.5,11.1,정상
2026-03-30 14:00,2026-03-30,14:00,일직동,약한비,13.5,72,1.1,1.3,12.5,우산 준비
2026-04-04 14:00,2026-04-04,14:00,일직동,흐림,15.4,71,0.0,5.1,13.0,정상
2026-04-09 14:00,2026-04-09,14:00,일직동,비,7.9,94,13.8,4.7,4.7,우산 준비
2026-04-13 14:00,2026-04-13,14:00,일직동,구름조금,22.9,42,0.0,2.2,23.4,정상
2026-04-18 14:00,2026-04-18,14:00,일직동,흐림,21.4,54,0.0,2.2,22.8,정상
2026-04-23 14:00,2026-04-23,14:00,일직동,흐림,19.6,45,0.0,5.2,17.8,정상
2026-04-27 14:00,2026-04-27,14:00,일직동,비,18.2,63,2.6,2.8,18.4,우산 준비
2026-05-02 14:00,2026-05-02,14:00,일직동,약한비,17.1,79,0.6,3.8,16.3,우산 준비
2026-05-07 14:00,2026-05-07,14:00,일직동,약한비,15.2,84,1.6,4.8,13.4,우산 준비
2026-05-11 14:00,2026-05-11,14:00,일직동,비,18.5,81,1.4,5.0,17.6,우산 준비
2026-05-16 14:00,2026-05-16,14:00,일직동,흐림,22.8,76,0.0,3.4,26.1,정상
2026-05-21 14:00,2026-05-21,14:00,일직동,비,16.2,93,11.3,3.6,16.1,우산 준비
2026-05-25 14:00,2026-05-25,14:00,일직동,흐림,27.4,60,0.0,1.7,31.5,정상
2026-05-30 14:00,2026-05-30,14:00,일직동,흐림,24.5,60,0.0,3.9,26.5,정상
2026-06-04 14:00,2026-06-04,14:00,일직동,비,24.8,84,2.2,3.6,27.8,우산 준비
2026-06-08 14:00,2026-06-08,14:00,일직동,흐림,23.9,60,0.0,4.1,25.1,정상
2026-06-13 14:00,2026-06-13,14:00,일직동,흐림,27.6,47,0.0,0.7,31.4,정상
2026-06-18 14:00,2026-06-18,14:00,일직동,흐림,27.9,69,0.0,3.4,32.1,정상
2026-06-22 14:00,2026-06-22,14:00,일직동,약한비,25.3,70,1.6,2.5,27.6,우산 준비
2026-06-27 14:00,2026-06-27,14:00,일직동,흐림,29.4,56,0.0,2.3,33.2,폭염주의
2026-07-02 14:00,2026-07-02,14:00,일직동,약한비,25.0,78,0.3,3.3,27.6,우산 준비
2026-07-06 14:00,2026-07-06,14:00,일직동,약한비,26.0,90,12.4,4.2,30.1,우산 준비
2026-07-11 14:00,2026-07-11,14:00,일직동,구름조금,30.2,72,0.0,3.9,35.9,폭염경보
2026-07-15 14:00,2026-07-15,14:00,일직동,약한비,26.1,86,1.4,5.3,29.1,우산 준비
2026-07-20 14:00,2026-07-20,14:00,일직동,비,23.4,91,32.5,2.5,26.9,우산 준비
2026-07-25 14:00,2026-07-25,14:00,일직동,약한비,28.5,81,0.1,3.9,33.1,폭염주의
2026-07-29 14:00,2026-07-29,14:00,일직동,흐림,28.7,82,0.0,5.0,34.4,폭염경보
2026-08-03 14:00,2026-08-03,14:00,일직동,폭염,33.7,63,0.0,1.4,41.8,폭염경보
2026-08-08 14:00,2026-08-08,14:00,일직동,맑음,31.4,70,0.0,6.1,36.0,폭염경보
2026-08-12 14:00,2026-08-12,14:00,일직동,맑음,28.5,61,0.0,4.5,31.7,정상
2026-08-17 14:00,2026-08-17,14:00,일직동,비,26.6,85,3.5,1.9,31.7,우산 준비
2026-08-22 14:00,2026-08-22,14:00,일직동,강한비,25.0,95,64.8,1.6,30.3,호우주의
2026-08-26 14:00,2026-08-26,14:00,일직동,흐림,28.5,75,0.0,2.3,33.2,폭염경보
2026-08-31 14:00,2026-08-31,14:00,일직동,강한비,22.5,95,96.3,3.2,25.6,호우주의
