일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-15 09:00,2026-01-15,09:00,학온동,한파,-6.5,64,0,4.1,-8.3,한파주의
2026-01-15 11:00,2026-01-15,11:00,학온동,맑음,-3.3,57,0,4.3,-5.2,정상
2026-01-15 13:00,2026-01-15,13:00,학온동,맑음,-0.5,55,0,3.9,-2.3,정상
2026-01-15 15:00,2026-01-15,15:00,학온동,맑음,-0.1,52,0,4.5,-2.1,정상
2026-01-15 17:00,2026-01-15,17:00,학온동,맑음,-1.9,59,0,4.0,-3.7,정상
2026-02-12 09:00,2026-02-12,09:00,학온동,눈,-2.3,80,0,3.8,-4.0,정상
2026-02-12 11:00,2026-02-12,11:00,학온동,약한비,0.8,74,0.7,3.8,-0.9,우산 준비
2026-02-12 13:00,2026-02-12,13:00,학온동,비,3.3,69,2.0,3.4,1.8,우산 준비
2026-02-12 15:00,2026-02-12,15:00,학온동,약한비,3.8,67,1.2,3.3,2.3,우산 준비
2026-02-12 17:00,2026-02-12,17:00,학온동,눈,2.0,73,0,3.8,0.3,정상
2026-03-12 09:00,2026-03-12,09:00,학온동,구름조금,6.0,59,0,4.4,5.8,관심
2026-03-12 11:00,2026-03-12,11:00,학온동,강풍,8.6,54,0,7.1,8.0,강풍주의
2026-03-12 13:00,2026-03-12,13:00,학온동,구름조금,10.9,50,0,6.6,10.4,강풍주의
2026-03-12 15:00,2026-03-12,15:00,학온동,구름조금,12.0,50,0,6.5,11.5,강풍주의
2026-03-12 17:00,2026-03-12,17:00,학온동,구름조금,10.2,54,0,4.9,9.8,관심
2026-04-09 09:00,2026-04-09,09:00,학온동,약한비,11.6,76,0.4,2.9,12.2,우산 준비
2026-04-09 11:00,2026-04-09,11:00,학온동,약한비,14.6,71,1.8,3.2,15.0,우산 준비
2026-04-09 13:00,2026-04-09,13:00,학온동,비,17.1,62,4.6,2.9,17.1,우산 준비
2026-04-09 15:00,2026-04-09,15:00,학온동,비,18.2,61,2.7,3.0,18.2,우산 준비
2026-04-09 17:00,2026-04-09,17:00,학온동,약한비,16.0,69,0.8,2.8,16.3,우산 준비
2026-05-14 09:00,2026-05-14,09:00,학온동,맑음,18.9,62,0,2.3,19.0,정상
2026-05-14 11:00,2026-05-14,11:00,학온동,맑음,21.7,60,0,2.4,21.7,정상
2026-05-14 13:00,2026-05-14,13:00,학온동,맑음,23.9,51,0,2.4,23.7,정상
2026-05-14 15:00,2026-05-14,15:00,학온동,맑음,25.2,52,0,2.5,25.0,정상
2026-05-14 17:00,2026-05-14,17:00,학온동,맑음,22.9,57,0,2.3,22.8,정상
2026-06-11 09:00,2026-06-11,09:00,학온동,약한비,23.0,82,0.4,3.3,23.8,우산 준비
2026-06-11 11:00,2026-06-11,11:00,학온동,비,25.7,80,2.3,3.6,26.4,우산 준비
2026-06-11 13:00,2026-06-11,13:00,학온동,비,28.2,73,6.5,3.0,28.7,우산 준비
2026-06-11 15:00,2026-06-11,15:00,학온동,비,29.1,71,4.8,3.4,29.5,우산 준비
2026-06-11 17:00,2026-06-11,17:00,학온동,약한비,26.9,78,1.0,3.2,27.6,우산 준비
2026-07-02 09:00,2026-07-02,09:00,학온동,맑음,26.6,76,0,3.0,27.2,정상
2026-07-02 11:00,2026-07-02,11:00,학온동,맑음,29.8,71,0,3.1,30.2,정상
2026-07-02 13:00,2026-07-02,13:00,학온동,맑음,32.4,65,0,2.7,32.6,폭염주의
2026-07-02 15:00,2026-07-02,15:00,학온동,폭염,33.0,63,0,2.9,33.1,폭염주의
2026-07-02 17:00,2026-07-02,17:00,학온동,맑음,30.8,72,0,2.6,31.3,정상
2026-07-09 09:00,2026-07-09,09:00,학온동,비,24.9,97,3.2,4.4,26.2,우산 준비
2026-07-09 11:00,2026-07-09,11:00,학온동,비,27.5,89,8.6,4.6,28.5,호우주의
2026-07-09 13:00,2026-07-09,13:00,학온동,폭우,30.0,85,20.5,4.6,30.8,호우경보
2026-07-09 15:00,2026-07-09,15:00,학온동,비,31.4,84,14.1,4.3,32.2,호우주의
2026-07-09 17:00,2026-07-09,17:00,학온동,비,28.9,91,4.5,4.2,30.0,우산 준비
2026-07-16 09:00,2026-07-16,09:00,학온동,맑음,29.8,70,0,2.2,30.2,정상
2026-07-16 11:00,2026-07-16,11:00,학온동,맑음,32.4,63,0,2.4,32.5,폭염주의
2026-07-16 13:00,2026-07-16,13:00,학온동,폭염,35.5,58,0,2.1,35.5,폭염경보
2026-07-16 15:00,2026-07-16,15:00,학온동,폭염,36.3,54,0,2.4,36.1,폭염경보
2026-07-16 17:00,2026-07-16,17:00,학온동,폭염,33.8,61,0,2.2,33.9,폭염주의
2026-07-20 09:00,2026-07-20,09:00,학온동,흐림,27.9,89,0,4.0,28.9,관심
2026-07-20 11:00,2026-07-20,11:00,학온동,약한비,30.5,81,0.5,3.9,31.2,우산 준비
2026-07-20 13:00,2026-07-20,13:00,학온동,비,33.2,78,6.0,3.8,33.8,우산 준비
2026-07-20 15:00,2026-07-20,15:00,학온동,폭우,33.9,74,22.2,3.9,34.3,호우경보
2026-07-20 17:00,2026-07-20,17:00,학온동,비,31.8,84,3.8,3.7,32.7,우산 준비
