일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-01 9:00,2026-01-01,9:00,가산동,한파,-5.7,48,0,2,-7.2,한파주의
2026-01-06 7:00,2026-01-06,7:00,가산동,눈,-1.9,60,2.2,3.8,-3.4,우산 준비
2026-01-11 6:00,2026-01-11,6:00,가산동,눈,-1,63,2.6,3,-2.5,우산 준비
2026-01-16 5:00,2026-01-16,5:00,가산동,눈,-4.1,47,2.2,1.9,-4.6,우산 준비
2026-01-21 3:00,2026-01-21,3:00,가산동,눈,-2.5,49,2.7,3,-4,우산 준비
2026-01-26 2:00,2026-01-26,2:00,가산동,눈,-1.1,41,1,3,-2.6,우산 준비
2026-01-31 1:00,2026-01-31,1:00,가산동,눈,-2.3,69,2.1,3.4,-3.8,우산 준비
2026-02-04 23:00,2026-02-04,23:00,가산동,눈,-1.5,48,2.4,2.8,-3,우산 준비
2026-02-09 22:00,2026-02-09,22:00,가산동,눈,-3.6,50,1.6,2.2,-5.1,우산 준비
2026-02-14 21:00,2026-02-14,21:00,가산동,눈,-1.3,74,2.1,2,-2.8,우산 준비
2026-02-19 19:00,2026-02-19,19:00,가산동,눈,-2.7,64,1,1.5,-3.2,우산 준비
2026-02-24 18:00,2026-02-24,18:00,가산동,맑음,1.3,56,0,2.4,-0.2,정상
2026-03-01 17:00,2026-03-01,17:00,가산동,맑음,7.4,46,0,3.1,5.9,우산 준비
2026-03-06 16:00,2026-03-06,16:00,가산동,맑음,6,58,0,3.3,4.5,정상
2026-03-11 14:00,2026-03-11,14:00,가산동,맑음,6.3,56,0,3.4,4.8,정상
2026-03-16 13:00,2026-03-16,13:00,가산동,맑음,7,59,0,2.1,5.5,강풍주의
2026-03-21 12:00,2026-03-21,12:00,가산동,맑음,4.6,49,0,2.8,3.1,우산 준비
2026-03-26 10:00,2026-03-26,10:00,가산동,맑음,8.8,68,0,3.1,7.3,정상
2026-03-31 9:00,2026-03-31,9:00,가산동,맑음,6.6,40,0,2.6,5.1,정상
2026-04-05 8:00,2026-04-05,8:00,가산동,맑음,11.9,66,0,2.6,10.4,정상
2026-04-10 6:00,2026-04-10,6:00,가산동,맑음,14.4,51,0,1.8,13.9,우산 준비
2026-04-15 5:00,2026-04-15,5:00,가산동,맑음,14.5,49,0,1.8,14,강풍주의
2026-04-20 4:00,2026-04-20,4:00,가산동,맑음,14.3,66,0,4.3,12.8,관심
2026-04-25 2:00,2026-04-25,2:00,가산동,맑음,12.4,66,0,1.8,11.9,정상
2026-04-30 1:00,2026-04-30,1:00,가산동,맑음,14.7,55,0,3.9,13.2,우산 준비
2026-05-05 0:00,2026-05-05,0:00,가산동,맑음,22.9,60,0,2.7,21.4,정상
2026-05-09 23:00,2026-05-09,23:00,가산동,맑음,18.8,67,0,3.1,17.3,정상
2026-05-14 21:00,2026-05-14,21:00,가산동,맑음,20.2,60,0,4.1,18.7,강풍주의
2026-05-19 20:00,2026-05-19,20:00,가산동,맑음,17.5,42,0,4.4,16,우산 준비
2026-05-24 19:00,2026-05-24,19:00,가산동,맑음,17.1,60,0,3.1,15.6,정상
2026-05-29 17:00,2026-05-29,17:00,가산동,맑음,20.5,46,0,4,19,정상
2026-06-03 16:00,2026-06-03,16:00,가산동,맑음,22.7,71,0,1.7,22.2,우산 준비
2026-06-08 15:00,2026-06-08,15:00,가산동,맑음,22.9,60,0,3.4,21.4,우산 준비
2026-06-13 13:00,2026-06-13,13:00,가산동,맑음,22.3,60,0,4,20.8,강풍주의
2026-06-18 12:00,2026-06-18,12:00,가산동,맑음,23.1,47,0,3.6,21.6,관심
2026-06-23 11:00,2026-06-23,11:00,가산동,맑음,23.3,72,0,1.9,22.8,호우주의
2026-06-28 9:00,2026-06-28,9:00,가산동,맑음,23.8,41,0,2.3,22.3,호우주의
2026-07-03 8:00,2026-07-03,8:00,가산동,맑음,25.6,53,0,1.7,25.1,우산 준비
2026-07-08 7:00,2026-07-08,7:00,가산동,맑음,28.9,44,0,3.8,27.4,정상
2026-07-13 6:00,2026-07-13,6:00,가산동,맑음,27.8,72,0,2.8,26.3,강풍주의
2026-07-18 4:00,2026-07-18,4:00,가산동,맑음,26.6,56,0,2.8,25.1,호우경보
2026-07-23 3:00,2026-07-23,3:00,가산동,맑음,27.7,73,0,3.1,26.2,우산 준비
2026-07-28 2:00,2026-07-28,2:00,가산동,맑음,27.4,51,0,3.5,25.9,우산 준비
2026-08-02 0:00,2026-08-02,0:00,가산동,맑음,28.4,43,0,4.1,26.9,정상
2026-08-06 23:00,2026-08-06,23:00,가산동,맑음,27.1,58,0,2.5,25.6,정상
2026-08-11 22:00,2026-08-11,22:00,가산동,맑음,28.2,45,0,4.5,26.7,호우경보
2026-08-16 20:00,2026-08-16,20:00,가산동,구름많음,32.4,46,0,4.5,30.9,우산 준비
2026-08-21 19:00,2026-08-21,19:00,가산동,구름많음,30.6,42,0,2.2,29.1,우산 준비
2026-08-26 18:00,2026-08-26,18:00,가산동,맑음,27.1,51,0,1.5,26.6,정상
2026-08-31 17:00,2026-08-31,17:00,가산동,맑음,28,61,0,1.6,27.5,정상
