일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-01 9:00,2026-01-01,9:00,독산2동,한파,-5.9,69,0,2.1,-7.4,한파주의
2026-01-06 7:00,2026-01-06,7:00,독산2동,눈,-0.5,68,3.8,2.9,-2,우산 준비
2026-01-11 6:00,2026-01-11,6:00,독산2동,진눈깨비,-6.7,81,1.9,6.7,-8.2,우산 준비
2026-01-16 5:00,2026-01-16,5:00,독산2동,맑음,-3.6,40,0,5.1,-5.1,관심
2026-01-21 3:00,2026-01-21,3:00,독산2동,맑음,-4.4,51,0,3.7,-5.9,정상
2026-01-26 2:00,2026-01-26,2:00,독산2동,맑음,-2.3,65,0,2,-3.8,정상
2026-01-31 1:00,2026-01-31,1:00,독산2동,눈,-3.6,73,1.7,2.5,-5.1,우산 준비
2026-02-04 23:00,2026-02-04,23:00,독산2동,진눈깨비,-0.7,59,1.1,3.7,-2.2,우산 준비
2026-02-09 22:00,2026-02-09,22:00,독산2동,맑음,2,50,0,8.1,0.5,강풍주의
2026-02-14 21:00,2026-02-14,21:00,독산2동,맑음,-2.5,38,0,4.7,-4,관심
2026-02-19 19:00,2026-02-19,19:00,독산2동,맑음,-3.3,41,0,2.2,-4.8,정상
2026-02-24 18:00,2026-02-24,18:00,독산2동,눈,-0.3,64,2.3,1.6,-0.8,우산 준비
2026-03-01 17:00,2026-03-01,17:00,독산2동,비,8.4,74,2.6,1.9,7.9,우산 준비
2026-03-06 16:00,2026-03-06,16:00,독산2동,맑음,8.5,64,0,3.7,7,정상
2026-03-11 14:00,2026-03-11,14:00,독산2동,맑음,9.9,45,0,7.5,8.4,강풍주의
2026-03-16 13:00,2026-03-16,13:00,독산2동,맑음,10.2,48,0,4.9,8.7,관심
2026-03-21 12:00,2026-03-21,12:00,독산2동,비,6.2,49,4.5,2.1,4.7,우산 준비
2026-03-26 10:00,2026-03-26,10:00,독산2동,맑음,5.6,66,0,2.2,4.1,정상
2026-03-31 9:00,2026-03-31,9:00,독산2동,맑음,5.8,53,0,1.8,5.3,정상
2026-04-05 8:00,2026-04-05,8:00,독산2동,맑음,17.1,63,0,3.4,15.6,정상
2026-04-10 6:00,2026-04-10,6:00,독산2동,비,16.5,76,2.9,7.6,15,우산 준비
2026-04-15 5:00,2026-04-15,5:00,독산2동,맑음,14.3,53,0,4.7,12.8,관심
2026-04-20 4:00,2026-04-20,4:00,독산2동,맑음,16.5,49,0,3,15,정상
2026-04-25 2:00,2026-04-25,2:00,독산2동,맑음,13.4,51,0,2.2,11.9,정상
2026-04-30 1:00,2026-04-30,1:00,독산2동,비,17,64,2.9,3.6,15.5,우산 준비
2026-05-05 0:00,2026-05-05,0:00,독산2동,맑음,19,61,0,3.8,17.5,정상
2026-05-09 23:00,2026-05-09,23:00,독산2동,맑음,23.4,66,0,6.8,21.9,강풍주의
2026-05-14 21:00,2026-05-14,21:00,독산2동,맑음,20.7,55,0,5,19.2,관심
2026-05-19 20:00,2026-05-19,20:00,독산2동,비,20.7,56,3.1,2.8,19.2,우산 준비
2026-05-24 19:00,2026-05-24,19:00,독산2동,맑음,21.8,68,0,4,20.3,정상
2026-05-29 17:00,2026-05-29,17:00,독산2동,맑음,18.6,69,0,2,17.1,정상
2026-06-03 16:00,2026-06-03,16:00,독산2동,맑음,23.8,66,0,2.5,22.3,정상
2026-06-08 15:00,2026-06-08,15:00,독산2동,강한비,24.2,61,17.9,7.2,22.7,호우경보
2026-06-13 13:00,2026-06-13,13:00,독산2동,비,22.8,74,7.6,5,21.3,호우주의
2026-06-18 12:00,2026-06-18,12:00,독산2동,약한비,26.4,75,1.4,1.8,25.9,우산 준비
2026-06-23 11:00,2026-06-23,11:00,독산2동,맑음,24.9,68,0,2.3,23.4,정상
2026-06-28 9:00,2026-06-28,9:00,독산2동,강한비,26.8,69,22.9,1.9,26.3,호우경보
2026-07-03 8:00,2026-07-03,8:00,독산2동,비,26.2,56,8.6,1.5,25.7,호우주의
2026-07-08 7:00,2026-07-08,7:00,독산2동,약한비,27.7,49,0.5,6.5,26.2,우산 준비
2026-07-13 6:00,2026-07-13,6:00,독산2동,구름많음,28.7,46,0,5.4,27.2,관심
2026-07-18 4:00,2026-07-18,4:00,독산2동,강한비,28.7,59,28.3,1.9,28.2,호우경보
2026-07-23 3:00,2026-07-23,3:00,독산2동,비,31.1,68,3.8,1.4,30.6,우산 준비
2026-07-28 2:00,2026-07-28,2:00,독산2동,약한비,26.5,71,2.5,3,25,우산 준비
2026-08-02 0:00,2026-08-02,0:00,독산2동,구름많음,30.5,45,0,2.2,29,폭염주의
2026-08-06 23:00,2026-08-06,23:00,독산2동,강한비,31.8,67,19.6,7.8,30.3,호우경보
2026-08-11 22:00,2026-08-11,22:00,독산2동,비,30.1,53,8,5.3,28.6,호우주의
2026-08-16 20:00,2026-08-16,20:00,독산2동,약한비,31.5,60,0.9,1.4,31,우산 준비
2026-08-21 19:00,2026-08-21,19:00,독산2동,구름많음,28.5,67,0,2.1,27,정상
2026-08-26 18:00,2026-08-26,18:00,독산2동,강한비,32.9,69,22.5,2.5,31.4,호우경보
2026-08-31 17:00,2026-08-31,17:00,독산2동,비,34,75,5.6,2.1,32.5,호우주의
