일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-01 9:00,2026-01-01,9:00,시흥1동,한파,-5.8,38,0,7.6,-7.3,한파주의
2026-01-06 7:00,2026-01-06,7:00,시흥1동,한파,-7.2,57,0,3.3,-8.7,한파주의
2026-01-11 6:00,2026-01-11,6:00,시흥1동,맑음,-4.1,65,0,2.2,-5.6,정상
2026-01-16 5:00,2026-01-16,5:00,시흥1동,눈,-1.4,71,1.8,3.5,-2.9,우산 준비
2026-01-21 3:00,2026-01-21,3:00,시흥1동,진눈깨비,-2.8,79,1.7,2.4,-4.3,우산 준비
2026-01-26 2:00,2026-01-26,2:00,시흥1동,한파,-6.5,38,0,5.2,-8,한파주의
2026-01-31 1:00,2026-01-31,1:00,시흥1동,맑음,-2,57,0,7.3,-3.5,강풍주의
2026-02-04 23:00,2026-02-04,23:00,시흥1동,맑음,0.6,38,0,3.9,-0.9,정상
2026-02-09 22:00,2026-02-09,22:00,시흥1동,눈,-2.4,69,1.8,2.4,-3.9,우산 준비
2026-02-14 21:00,2026-02-14,21:00,시흥1동,진눈깨비,0.2,69,1.8,2.9,-1.3,우산 준비
2026-02-19 19:00,2026-02-19,19:00,시흥1동,맑음,-3.3,41,0,1.4,-3.8,정상
2026-02-24 18:00,2026-02-24,18:00,시흥1동,맑음,0,62,0,4.7,-1.5,관심
2026-03-01 17:00,2026-03-01,17:00,시흥1동,맑음,6,63,0,8.5,4.5,강풍주의
2026-03-06 16:00,2026-03-06,16:00,시흥1동,맑음,6.8,43,0,3.1,5.3,정상
2026-03-11 14:00,2026-03-11,14:00,시흥1동,비,9.1,64,5.2,2.9,7.6,호우주의
2026-03-16 13:00,2026-03-16,13:00,시흥1동,맑음,10.4,37,0,1.4,9.9,정상
2026-03-21 12:00,2026-03-21,12:00,시흥1동,맑음,4.8,38,0,3.1,3.3,정상
2026-03-26 10:00,2026-03-26,10:00,시흥1동,맑음,9.4,67,0,4.9,7.9,관심
2026-03-31 9:00,2026-03-31,9:00,시흥1동,비,9.8,74,2.9,7.5,8.3,우산 준비
2026-04-05 8:00,2026-04-05,8:00,시흥1동,맑음,16.5,50,0,2.6,15,정상
2026-04-10 6:00,2026-04-10,6:00,시흥1동,맑음,15.5,40,0,2.2,14,정상
2026-04-15 5:00,2026-04-15,5:00,시흥1동,맑음,16.3,48,0,2.7,14.8,정상
2026-04-20 4:00,2026-04-20,4:00,시흥1동,비,13.4,80,3.6,3.4,11.9,우산 준비
2026-04-25 2:00,2026-04-25,2:00,시흥1동,맑음,14.7,58,0,5.2,13.2,관심
2026-04-30 1:00,2026-04-30,1:00,시흥1동,맑음,16,37,0,6.9,14.5,강풍주의
2026-05-05 0:00,2026-05-05,0:00,시흥1동,맑음,23.1,50,0,1.9,22.6,정상
2026-05-09 23:00,2026-05-09,23:00,시흥1동,비,18.5,59,2.5,1.6,18,우산 준비
2026-05-14 21:00,2026-05-14,21:00,시흥1동,맑음,22.4,46,0,3.2,20.9,정상
2026-05-19 20:00,2026-05-19,20:00,시흥1동,맑음,21.6,48,0,3,20.1,정상
2026-05-24 19:00,2026-05-24,19:00,시흥1동,맑음,18.3,40,0,5.4,16.8,관심
2026-05-29 17:00,2026-05-29,17:00,시흥1동,비,18.6,67,4.3,7.6,17.1,우산 준비
2026-06-03 16:00,2026-06-03,16:00,시흥1동,비,25.3,63,6.5,3.4,23.8,호우주의
2026-06-08 15:00,2026-06-08,15:00,시흥1동,약한비,26.2,69,2.1,2.6,24.7,우산 준비
2026-06-13 13:00,2026-06-13,13:00,시흥1동,맑음,25.6,43,0,3.5,24.1,정상
2026-06-18 12:00,2026-06-18,12:00,시흥1동,강한비,23.9,74,19.7,2.1,22.4,호우경보
2026-06-23 11:00,2026-06-23,11:00,시흥1동,비,26.4,61,6.1,5.5,24.9,호우주의
2026-06-28 9:00,2026-06-28,9:00,시흥1동,약한비,22.9,56,2.1,8.7,21.4,우산 준비
2026-07-03 8:00,2026-07-03,8:00,시흥1동,구름많음,30.5,57,0,3.8,29,폭염주의
2026-07-08 7:00,2026-07-08,7:00,시흥1동,강한비,30.8,70,22.8,1.8,30.3,호우경보
2026-07-13 6:00,2026-07-13,6:00,시흥1동,비,29.8,77,5.7,2.1,28.3,호우주의
2026-07-18 4:00,2026-07-18,4:00,시흥1동,약한비,30.8,78,0.6,3.9,29.3,우산 준비
2026-07-23 3:00,2026-07-23,3:00,시흥1동,맑음,26.8,67,0,5.1,25.3,관심
2026-07-28 2:00,2026-07-28,2:00,시흥1동,강한비,27,51,23.9,7,25.5,호우경보
2026-08-02 0:00,2026-08-02,0:00,시흥1동,비,28.8,65,6,4,27.3,호우주의
2026-08-06 23:00,2026-08-06,23:00,시흥1동,약한비,33.7,61,0.6,2.2,32.2,우산 준비
2026-08-11 22:00,2026-08-11,22:00,시흥1동,구름많음,31.4,41,0,2.1,29.9,폭염주의
2026-08-16 20:00,2026-08-16,20:00,시흥1동,강한비,31.4,64,29,3,29.9,호우경보
2026-08-21 19:00,2026-08-21,19:00,시흥1동,비,34.2,52,7.5,5.4,32.7,호우주의
2026-08-26 18:00,2026-08-26,18:00,시흥1동,약한비,33.8,72,0.7,6.9,32.3,우산 준비
2026-08-31 17:00,2026-08-31,17:00,시흥1동,구름많음,31.8,57,0,3.1,28.7,폭염주의
