일시,날짜,시간,지역명,날씨상태,기온(°C),습도(%),일강수량(mm),풍속(m/s),체감온도(°C),뉴스/주의
2026-01-01 14:00,2026-01-01,14:00,시흥3동,한파,-5.3,33,0.0,3.7,-11.0,한파주의
2026-01-06 14:00,2026-01-06,14:00,시흥3동,맑음,2.9,64,0.0,2.5,-1.0,관심
2026-01-11 14:00,2026-01-11,14:00,시흥3동,맑음,-4.9,40,0.0,5.1,-11.2,한파주의
2026-01-16 14:00,2026-01-16,14:00,시흥3동,흐림,8.3,46,0.0,1.6,5.0,정상
2026-01-21 14:00,2026-01-21,14:00,시흥3동,한파,-7.9,39,0.0,4.2,-14.0,한파주의
2026-01-26 14:00,2026-01-26,14:00,시흥3동,구름조금,-2.3,57,0.0,1.9,-6.6,관심
2026-01-31 14:00,2026-01-31,14:00,시흥3동,맑음,-1.2,34,0.0,2.8,-6.1,한파주의
2026-02-04 14:00,2026-02-04,14:00,시흥3동,구름조금,6.6,70,0.0,3.8,2.7,정상
2026-02-09 14:00,2026-02-09,14:00,시흥3동,맑음,1.0,67,0.0,2.5,-2.8,한파주의
2026-02-14 14:00,2026-02-14,14:00,시흥3동,흐림,10.6,72,0.0,2.2,8.3,정상
2026-02-19 14:00,2026-02-19,14:00,시흥3동,맑음,4.2,56,0.0,3.4,0.4,정상
2026-02-24 14:00,2026-02-24,14:00,시흥3동,흐림,3.3,46,0.0,1.6,-0.5,정상
2026-03-01 14:00,2026-03-01,14:00,시흥3동,흐림,9.7,60,0.0,2.4,6.7,정상
2026-03-06 14:00,2026-03-06,14:00,시흥3동,약한비,3.3,72,0.4,5.4,-1.8,우산 준비
2026-03-11 14:00,2026-03-11,14:00,시흥3동,구름조금,6.2,50,0.0,2.1,2.5,정상
2026-03-16 14:00,2026-03-16,14:00,시흥3동,흐림,10.7,39,0.0,1.6,8.4,정상
2026-03-21 14:00,2026-03-21,14:00,시흥3동,흐림,10.6,44,0.0,3.1,8.1,정상
2026-03-26 14:00,2026-03-26,14:00,시흥3동,흐림,14.1,64,0.0,3.2,13.2,정상
2026-03-31 14:00,2026-03-31,14:00,시흥3동,약한비,16.2,63,9.0,3.9,14.0,우산 준비
2026-04-05 14:00,2026-04-05,14:00,시흥3동,흐림,13.6,55,0.0,3.4,12.2,정상
2026-04-10 14:00,2026-04-10,14:00,시흥3동,약한비,9.4,93,1.2,4.0,6.8,우산 준비
2026-04-15 14:00,2026-04-15,14:00,시흥3동,흐림,22.5,45,0.0,2.6,22.9,정상
2026-04-20 14:00,2026-04-20,14:00,시흥3동,약한비,11.0,99,0.1,3.3,9.5,우산 준비
2026-04-25 14:00,2026-04-25,14:00,시흥3동,맑음,23.0,35,0.0,3.6,22.2,정상
2026-04-30 14:00,2026-04-30,14:00,시흥3동,흐림,20.5,36,0.0,2.1,20.2,정상
2026-05-05 14:00,2026-05-05,14:00,시흥3동,흐림,18.2,42,0.0,4.0,16.8,정상
2026-05-09 14:00,2026-05-09,14:00,시흥3동,구름조금,19.1,37,0.0,3.7,17.6,정상
2026-05-14 14:00,2026-05-14,14:00,시흥3동,흐림,28.4,40,0.0,2.9,29.9,정상
2026-05-19 14:00,2026-05-19,14:00,시흥3동,흐림,23.8,51,0.0,1.8,23.8,정상
2026-05-24 14:00,2026-05-24,14:00,시흥3동,맑음,26.0,54,0.0,1.1,29.6,정상
2026-05-29 14:00,2026-05-29,14:00,시흥3동,흐림,24.8,60,0.0,3.8,26.9,정상
2026-06-03 14:00,2026-06-03,14:00,시흥3동,흐림,28.5,56,0.0,2.6,30.5,정상
2026-06-08 14:00,2026-06-08,14:00,시흥3동,흐림,24.4,53,0.0,3.7,24.9,정상
2026-06-13 14:00,2026-06-13,14:00,시흥3동,흐림,28.2,43,0.0,0.4,31.8,정상
2026-06-18 14:00,2026-06-18,14:00,시흥3동,약한비,29.0,60,0.1,2.5,32.9,우산 준비
2026-06-23 14:00,2026-06-23,14:00,시흥3동,흐림,28.1,52,0.0,3.9,29.9,정상
2026-06-28 14:00,2026-06-28,14:00,시흥3동,흐림,28.2,66,0.0,3.1,32.4,폭염주의
2026-07-03 14:00,2026-07-03,14:00,시흥3동,약한비,26.4,74,0.2,2.5,29.6,우산 준비
2026-07-08 14:00,2026-07-08,14:00,시흥3동,비,25.4,94,34.2,3.8,29.6,우산 준비
2026-07-13 14:00,2026-07-13,14:00,시흥3동,맑음,31.4,68,0.0,2.3,37.0,폭염경보
2026-07-18 14:00,2026-07-18,14:00,시흥3동,강한비,26.3,83,93.5,3.0,30.2,호우주의
2026-07-23 14:00,2026-07-23,14:00,시흥3동,약한비,29.1,81,12.5,3.6,34.2,폭염주의
2026-07-28 14:00,2026-07-28,14:00,시흥3동,약한비,29.4,79,0.2,3.6,34.4,폭염주의
2026-08-02 14:00,2026-08-02,14:00,시흥3동,흐림,32.9,63,0.0,3.1,39.2,폭염경보
2026-08-06 14:00,2026-08-06,14:00,시흥3동,폭염,34.5,56,0.0,2.1,41.2,폭염경보
2026-08-11 14:00,2026-08-11,14:00,시흥3동,흐림,31.1,54,0.0,3.2,35.2,폭염경보
2026-08-16 14:00,2026-08-16,14:00,시흥3동,비,24.9,90,10.4,2.7,29.1,우산 준비
2026-08-21 14:00,2026-08-21,14:00,시흥3동,약한비,24.8,91,10.3,1.7,29.6,우산 준비
2026-08-26 14:00,2026-08-26,14:00,시흥3동,흐림,29.5,68,0.0,1.7,34.1,폭염경보
2026-08-31 14:00,2026-08-31,14:00,시흥3동,강한비,23.1,94,91.9,3.0,26.4,호우주의
